city,state,latitude,longitude,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,risk_score
Mumbai,Maharashtra,19.277812,72.889938,7,Tuesday,0,rural,6,0,clear,high,24,low,poor road,minor,3,1,0,0.1
Kolkata,West Bengal,22.644485,88.376914,7,Friday,0,urban,6,1,fog,low,18,low,overspeeding,minor,5,4,0,0.45
Bangalore,Karnataka,13.007483,77.745779,3,Monday,0,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,0,0.25
Delhi,Delhi,28.767686,77.102505,17,Thursday,0,rural,1,1,fog,low,27,medium,poor road,minor,5,2,1,0.6
Chandigarh,Punjab,30.79305,76.864728,4,Thursday,0,highway,6,0,clear,high,35,low,overspeeding,minor,5,1,0,0.1
Delhi,Delhi,28.513789,77.26605,14,Tuesday,0,rural,6,1,fog,low,24,high,drunk driving,minor,1,0,0,0.65
Chennai,Tamil Nadu,12.941766,80.271836,18,Sunday,1,highway,5,1,clear,high,32,low,weather,fatal,4,4,1,0.45
Pune,Maharashtra,18.497326,73.919761,6,Monday,0,rural,5,0,rain,medium,20,low,drunk driving,minor,2,1,0,0.25
Kolkata,West Bengal,22.568337,88.326718,1,Saturday,1,rural,4,1,rain,medium,30,high,weather,minor,4,3,0,0.45
Mumbai,Maharashtra,18.945509,72.865677,22,Tuesday,0,highway,5,1,rain,medium,40,high,distraction,minor,2,2,0,0.45
Chandigarh,Punjab,30.739178,76.722246,9,Friday,0,urban,4,0,rain,medium,29,high,drunk driving,fatal,3,3,1,0.8
Hyderabad,Telangana,17.36441,78.442288,22,Tuesday,0,urban,4,1,rain,medium,20,medium,overspeeding,major,1,0,0,0.25
Chennai,Tamil Nadu,13.174093,80.150346,13,Monday,0,highway,2,1,clear,high,20,low,weather,minor,1,1,0,0.1
Chandigarh,Punjab,30.75772,76.718682,0,Tuesday,0,rural,3,1,rain,medium,26,low,drunk driving,major,2,2,0,0.25
Bangalore,Karnataka,13.032625,77.614829,9,Friday,0,urban,2,1,rain,medium,21,high,distraction,minor,1,1,1,0.6
Chandigarh,Punjab,30.774779,76.862232,11,Friday,0,urban,6,1,rain,low,31,low,poor road,major,4,4,0,0.45
Delhi,Delhi,28.683622,77.273941,15,Monday,0,rural,2,1,rain,medium,16,medium,poor road,major,3,3,0,0.25
Hyderabad,Telangana,17.384544,78.420669,14,Monday,0,highway,4,0,rain,low,22,high,weather,major,2,0,0,0.65
Hyderabad,Telangana,17.217784,78.280672,13,Monday,0,rural,3,1,fog,low,31,medium,distraction,major,2,2,0,0.45
Pune,Maharashtra,18.482992,73.944129,9,Thursday,0,highway,2,1,clear,high,32,high,overspeeding,major,3,1,1,0.45
Hyderabad,Telangana,17.224481,78.470636,7,Thursday,0,rural,3,1,fog,low,17,medium,drunk driving,major,2,2,0,0.45
Bangalore,Karnataka,12.863932,77.797043,2,Sunday,1,urban,4,0,fog,low,15,low,drunk driving,major,1,0,0,0.45
Mumbai,Maharashtra,19.090552,72.9844,21,Tuesday,0,rural,1,1,rain,low,29,medium,poor road,minor,3,0,0,0.45
Chandigarh,Punjab,30.790067,76.805399,3,Monday,0,highway,5,1,rain,low,25,low,weather,major,3,1,0,0.45
Delhi,Delhi,28.502883,77.165457,6,Thursday,0,urban,5,1,fog,low,32,medium,drunk driving,minor,3,3,0,0.45
Chandigarh,Punjab,30.774233,76.72531,0,Thursday,0,urban,3,0,clear,high,40,low,distraction,major,2,1,0,0.1
Mumbai,Maharashtra,19.232608,72.869852,6,Sunday,1,urban,6,0,fog,low,21,medium,weather,major,2,1,0,0.45
Chennai,Tamil Nadu,12.959773,80.153419,2,Tuesday,0,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,0,0.1
Chennai,Tamil Nadu,12.985135,80.226248,23,Friday,0,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,0,0.85
Mumbai,Maharashtra,19.061169,72.872827,14,Wednesday,0,urban,5,1,clear,high,19,low,poor road,minor,2,0,0,0.1
Delhi,Delhi,28.463133,76.976698,9,Tuesday,0,rural,1,1,rain,medium,39,medium,distraction,major,1,0,1,0.4
Chennai,Tamil Nadu,12.852053,80.121615,14,Saturday,1,urban,6,1,rain,medium,27,high,distraction,major,3,1,0,0.45
Chennai,Tamil Nadu,13.017299,80.224813,0,Tuesday,0,rural,3,0,fog,low,26,low,overspeeding,major,4,1,0,0.45
Pune,Maharashtra,18.560997,73.811173,23,Saturday,1,rural,2,1,fog,low,24,medium,drunk driving,major,2,2,0,0.45
Chennai,Tamil Nadu,12.97141,80.197487,7,Monday,0,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,0,0.45
Mumbai,Maharashtra,19.264702,72.886613,10,Thursday,0,highway,1,1,clear,high,21,high,poor road,major,2,2,1,0.45
Mumbai,Maharashtra,18.811624,72.877651,5,Sunday,1,rural,2,1,fog,low,17,high,drunk driving,minor,5,5,0,0.65
Chandigarh,Punjab,30.674067,76.774623,21,Tuesday,0,rural,4,0,clear,high,36,high,distraction,major,3,1,0,0.3
Mumbai,Maharashtra,19.208566,72.896859,6,Friday,0,highway,6,1,fog,low,34,low,poor road,major,1,1,0,0.45
Hyderabad,Telangana,17.530898,78.305176,19,Tuesday,0,highway,2,1,fog,low,38,low,poor road,minor,3,3,1,0.6
Pune,Maharashtra,18.442448,73.878574,14,Sunday,1,urban,4,0,fog,low,19,high,drunk driving,major,2,2,0,0.65
Delhi,Delhi,28.47365,77.060874,11,Friday,0,highway,2,1,clear,high,21,high,weather,fatal,5,5,0,0.5
Bangalore,Karnataka,12.984625,77.767823,6,Wednesday,0,rural,1,1,rain,low,19,low,distraction,fatal,1,1,0,0.65
Bangalore,Karnataka,12.954595,77.488507,13,Sunday,1,highway,1,1,fog,low,29,medium,overspeeding,major,2,0,0,0.45
Chandigarh,Punjab,30.78901,76.887359,19,Monday,0,urban,1,1,clear,high,23,high,weather,minor,4,0,1,0.45
Pune,Maharashtra,18.528017,73.850369,6,Tuesday,0,urban,4,1,rain,low,39,low,poor road,minor,2,1,0,0.45
Pune,Maharashtra,18.549441,73.804096,5,Monday,0,urban,4,1,fog,low,39,high,drunk driving,minor,2,0,0,0.65
Chennai,Tamil Nadu,12.919435,80.207627,15,Tuesday,0,urban,2,1,fog,low,27,high,poor road,fatal,5,5,0,0.85
Delhi,Delhi,28.813866,77.149528,21,Friday,0,urban,6,1,fog,low,19,high,poor road,minor,3,1,0,0.65
Chandigarh,Punjab,30.658767,76.836989,14,Friday,0,highway,6,0,rain,medium,36,medium,drunk driving,major,3,1,0,0.25
Pune,Maharashtra,18.499609,73.81264,6,Friday,0,highway,2,0,rain,medium,37,medium,overspeeding,minor,3,0,0,0.25
Kolkata,West Bengal,22.641847,88.381884,22,Tuesday,0,rural,1,1,fog,low,30,low,overspeeding,minor,1,0,0,0.45
Hyderabad,Telangana,17.386509,78.48781,0,Monday,0,rural,1,1,rain,medium,38,low,weather,major,3,0,0,0.25
Hyderabad,Telangana,17.335804,78.271751,3,Friday,0,urban,5,1,fog,low,40,low,weather,major,2,2,0,0.45
Chandigarh,Punjab,30.645926,76.791403,17,Thursday,0,highway,2,0,fog,low,36,medium,weather,major,3,2,1,0.6
Chennai,Tamil Nadu,12.93952,80.153093,14,Thursday,0,rural,2,1,rain,low,25,medium,overspeeding,minor,5,1,0,0.45
Hyderabad,Telangana,17.512138,78.471549,6,Wednesday,0,highway,1,0,rain,low,30,low,poor road,minor,5,5,0,0.45
Mumbai,Maharashtra,18.803193,72.982741,4,Wednesday,0,highway,3,0,fog,low,19,low,distraction,minor,5,4,0,0.45
Delhi,Delhi,28.838921,76.991482,22,Sunday,1,highway,3,0,clear,high,24,high,distraction,minor,2,1,0,0.3
Hyderabad,Telangana,17.470165,78.472552,2,Saturday,1,urban,3,1,rain,medium,20,medium,weather,major,1,1,0,0.25
Pune,Maharashtra,18.537548,73.723176,23,Friday,0,rural,3,0,rain,medium,38,high,drunk driving,major,5,3,0,0.45
Bangalore,Karnataka,12.941515,77.674347,5,Thursday,0,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,0,0.65
Pune,Maharashtra,18.467712,73.954984,9,Friday,0,rural,1,1,fog,low,18,high,poor road,minor,5,5,1,0.8
Hyderabad,Telangana,17.44697,78.449607,18,Tuesday,0,urban,1,0,fog,low,19,high,overspeeding,minor,2,1,1,0.8
Mumbai,Maharashtra,19.250366,72.762997,22,Thursday,0,urban,4,0,fog,low,35,medium,poor road,major,4,4,0,0.45
Kolkata,West Bengal,22.48522,88.321126,2,Monday,0,rural,4,1,clear,high,37,low,overspeeding,minor,3,3,0,0.1
Chandigarh,Punjab,30.662289,76.860184,7,Saturday,1,rural,4,0,clear,high,27,medium,weather,major,3,0,0,0.1
Pune,Maharashtra,18.687205,73.858717,17,Wednesday,0,highway,4,0,clear,high,16,medium,distraction,major,4,4,1,0.25
Chandigarh,Punjab,30.729891,76.786151,6,Sunday,1,highway,2,0,fog,low,34,low,drunk driving,minor,5,2,0,0.45
Chennai,Tamil Nadu,12.810721,80.19735,18,Saturday,1,urban,2,1,fog,low,36,high,poor road,minor,4,2,1,0.8
Kolkata,West Bengal,22.537913,88.323836,23,Sunday,1,highway,5,1,rain,low,40,high,distraction,minor,3,1,0,0.65
Bangalore,Karnataka,13.045999,77.520041,12,Monday,0,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,0,0.45
Bangalore,Karnataka,12.848361,77.433807,7,Wednesday,0,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,0,0.1
Bangalore,Karnataka,13.057964,77.590444,20,Sunday,1,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,0,0.1
Mumbai,Maharashtra,18.990602,72.799954,20,Monday,0,highway,2,1,rain,low,23,low,drunk driving,major,1,0,0,0.45
Hyderabad,Telangana,17.426893,78.488724,13,Friday,0,highway,4,1,fog,low,39,low,distraction,minor,5,1,0,0.45
Mumbai,Maharashtra,18.838523,72.976824,22,Wednesday,0,rural,1,1,rain,medium,15,low,drunk driving,minor,5,1,0,0.25
Chennai,Tamil Nadu,13.10543,80.11737,4,Wednesday,0,rural,6,0,clear,high,29,medium,weather,minor,2,1,0,0.1
Delhi,Delhi,28.519189,76.859451,2,Saturday,1,rural,1,0,rain,low,27,high,poor road,minor,1,0,0,0.65
Bangalore,Karnataka,12.94701,77.785423,16,Tuesday,0,rural,1,0,clear,high,34,low,distraction,minor,5,5,0,0.1
Hyderabad,Telangana,17.49119,78.27063,8,Saturday,1,urban,4,0,rain,low,31,high,poor road,minor,3,0,1,0.8
Chennai,Tamil Nadu,12.812744,80.226751,20,Wednesday,0,highway,2,0,fog,low,17,low,drunk driving,major,5,2,0,0.45
Chennai,Tamil Nadu,13.126298,80.273119,9,Sunday,1,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,1,0.25
Kolkata,West Bengal,22.686595,88.399393,15,Saturday,1,rural,6,0,fog,low,31,medium,weather,fatal,1,1,0,0.65
Hyderabad,Telangana,17.416162,78.471995,11,Saturday,1,rural,4,1,rain,low,17,high,distraction,minor,3,1,0,0.65
Chennai,Tamil Nadu,12.829772,80.266893,5,Thursday,0,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,0,0.65
Chandigarh,Punjab,30.703228,76.745141,22,Wednesday,0,highway,5,0,rain,low,36,high,drunk driving,minor,4,4,0,0.65
Pune,Maharashtra,18.671835,73.77906,13,Friday,0,urban,3,0,rain,low,18,low,poor road,minor,1,1,0,0.45
Chandigarh,Punjab,30.780406,76.759015,19,Thursday,0,rural,1,0,rain,medium,26,high,drunk driving,major,3,0,1,0.6
Bangalore,Karnataka,12.863873,77.573049,14,Friday,0,rural,3,0,clear,high,20,high,drunk driving,major,4,0,0,0.3
Chandigarh,Punjab,30.612508,76.8941,11,Saturday,1,highway,2,1,rain,medium,15,medium,drunk driving,minor,3,2,0,0.25
Pune,Maharashtra,18.613759,73.739609,17,Tuesday,0,highway,5,0,clear,high,16,high,weather,major,4,1,1,0.45
Kolkata,West Bengal,22.615566,88.245733,13,Friday,0,urban,4,1,clear,high,25,low,poor road,major,3,1,0,0.1
Chennai,Tamil Nadu,12.917829,80.107956,0,Friday,0,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,0,0.45
Chandigarh,Punjab,30.669447,76.798384,13,Sunday,1,urban,5,1,fog,low,38,medium,weather,minor,4,3,0,0.45
Chennai,Tamil Nadu,13.023148,80.267046,22,Tuesday,0,rural,4,0,clear,high,36,low,distraction,major,3,3,0,0.1
Hyderabad,Telangana,17.469395,78.426902,23,Sunday,1,urban,1,0,rain,low,17,medium,poor road,major,3,1,0,0.45
Pune,Maharashtra,18.445959,73.866259,13,Monday,0,rural,4,1,clear,high,20,medium,distraction,major,2,2,0,0.1
Bangalore,Karnataka,12.810804,77.644324,15,Wednesday,0,highway,3,0,fog,low,31,low,weather,minor,1,1,0,0.45
Kolkata,West Bengal,22.605036,88.211938,20,Wednesday,0,urban,5,1,rain,medium,22,medium,overspeeding,major,1,1,0,0.25
Chandigarh,Punjab,30.749547,76.70627,5,Wednesday,0,urban,1,0,fog,low,24,high,poor road,minor,4,2,0,0.65
Delhi,Delhi,28.8028,76.835013,15,Monday,0,highway,4,0,rain,medium,19,low,drunk driving,fatal,2,2,0,0.45
Pune,Maharashtra,18.571932,73.724503,3,Tuesday,0,highway,2,0,clear,high,31,low,drunk driving,major,3,0,0,0.1
Bangalore,Karnataka,12.913562,77.619006,19,Monday,0,highway,3,0,rain,medium,34,medium,poor road,major,4,3,1,0.4
Chandigarh,Punjab,30.771578,76.798125,20,Sunday,1,highway,3,1,rain,medium,25,high,weather,fatal,5,5,0,0.65
Chennai,Tamil Nadu,12.910539,80.183088,12,Saturday,1,highway,5,1,clear,high,28,high,poor road,minor,3,2,0,0.3
Hyderabad,Telangana,17.57514,78.484234,0,Sunday,1,highway,5,0,rain,low,17,low,distraction,major,1,0,0,0.45
Pune,Maharashtra,18.697073,73.828047,4,Monday,0,highway,2,0,clear,high,20,high,weather,minor,5,2,0,0.3
Mumbai,Maharashtra,19.257558,72.75368,10,Tuesday,0,highway,3,1,fog,low,30,high,weather,major,3,0,1,0.8
Chennai,Tamil Nadu,13.099257,80.226182,8,Saturday,1,urban,4,0,rain,low,32,high,poor road,major,1,0,1,0.8
Chandigarh,Punjab,30.612831,76.810119,22,Saturday,1,highway,4,1,rain,medium,17,medium,drunk driving,minor,4,4,0,0.25
Bangalore,Karnataka,12.851488,77.589232,21,Tuesday,0,urban,2,1,fog,low,36,high,drunk driving,minor,1,0,0,0.65
Kolkata,West Bengal,22.408139,88.322983,21,Wednesday,0,rural,3,0,rain,medium,29,high,distraction,minor,1,0,0,0.45
Kolkata,West Bengal,22.470344,88.318475,6,Sunday,1,urban,3,1,clear,high,38,medium,drunk driving,minor,3,3,0,0.1
Kolkata,West Bengal,22.672696,88.400666,15,Friday,0,highway,2,0,clear,high,28,low,distraction,major,2,1,0,0.1
Chennai,Tamil Nadu,13.145041,80.133716,7,Friday,0,highway,5,0,fog,low,15,high,weather,major,1,0,0,0.65
Kolkata,West Bengal,22.524367,88.453597,1,Wednesday,0,urban,5,0,rain,medium,26,low,weather,minor,2,0,0,0.25
Bangalore,Karnataka,13.055067,77.418018,11,Thursday,0,rural,4,1,rain,low,30,low,distraction,minor,3,2,0,0.45
Delhi,Delhi,28.654528,76.925723,2,Wednesday,0,urban,4,1,rain,low,35,low,weather,major,5,2,0,0.45
Bangalore,Karnataka,13.174917,77.602348,21,Saturday,1,rural,4,1,rain,low,29,medium,drunk driving,major,4,4,0,0.45
Pune,Maharashtra,18.479329,73.88208,22,Sunday,1,rural,6,0,clear,high,33,low,poor road,fatal,5,5,0,0.3
Chandigarh,Punjab,30.65561,76.831544,3,Thursday,0,highway,6,1,rain,medium,25,low,poor road,fatal,1,1,0,0.45
Bangalore,Karnataka,13.052805,77.617588,14,Tuesday,0,urban,3,1,rain,medium,26,medium,weather,minor,5,0,0,0.25
Delhi,Delhi,28.834402,77.209459,12,Friday,0,rural,5,1,fog,low,33,medium,poor road,fatal,3,3,0,0.65
Mumbai,Maharashtra,19.090344,72.902108,10,Monday,0,urban,6,0,clear,high,35,high,weather,fatal,2,2,1,0.65
Chennai,Tamil Nadu,13.196352,80.138535,7,Saturday,1,urban,5,0,fog,low,32,medium,drunk driving,minor,1,1,0,0.45
Chennai,Tamil Nadu,13.152998,80.258685,22,Sunday,1,rural,1,0,fog,low,19,high,distraction,major,4,2,0,0.65
Delhi,Delhi,28.671166,77.064188,3,Saturday,1,rural,6,1,clear,high,27,high,distraction,minor,4,3,0,0.3
Kolkata,West Bengal,22.535434,88.290362,8,Thursday,0,highway,5,0,clear,high,33,low,distraction,major,1,1,1,0.25
Pune,Maharashtra,18.522797,73.933778,20,Tuesday,0,urban,4,0,fog,low,17,high,poor road,fatal,1,1,0,0.85
Bangalore,Karnataka,12.828296,77.719866,1,Friday,0,rural,3,1,fog,low,35,low,overspeeding,major,2,0,0,0.45
Pune,Maharashtra,18.435528,73.934128,11,Saturday,1,rural,1,1,rain,low,19,low,poor road,major,5,1,0,0.45
Chennai,Tamil Nadu,12.921984,80.115306,18,Friday,0,rural,5,1,clear,high,21,medium,poor road,major,5,5,1,0.25
Chennai,Tamil Nadu,12.841819,80.258805,0,Friday,0,rural,2,1,rain,low,37,low,drunk driving,minor,4,0,0,0.45
Delhi,Delhi,28.492703,76.815886,7,Tuesday,0,highway,1,1,fog,low,17,high,weather,major,4,3,0,0.65
Chandigarh,Punjab,30.677187,76.727473,4,Sunday,1,rural,4,0,rain,low,16,medium,drunk driving,fatal,5,5,0,0.65
Bangalore,Karnataka,13.068595,77.762442,17,Thursday,0,urban,1,1,clear,high,33,medium,poor road,fatal,5,5,1,0.45
Chennai,Tamil Nadu,12.891896,80.227598,18,Friday,0,urban,3,1,clear,high,29,high,poor road,minor,2,1,1,0.45
Chandigarh,Punjab,30.788551,76.774195,7,Saturday,1,highway,5,1,rain,low,37,low,drunk driving,minor,4,3,0,0.45
Chennai,Tamil Nadu,13.057219,80.184551,6,Sunday,1,highway,6,1,rain,low,38,medium,drunk driving,fatal,4,4,0,0.65
Delhi,Delhi,28.555907,77.177935,21,Friday,0,highway,1,1,fog,low,37,low,drunk driving,minor,4,0,0,0.45
Bangalore,Karnataka,12.94144,77.549761,10,Friday,0,rural,3,0,rain,low,19,high,distraction,minor,2,1,1,0.8
Bangalore,Karnataka,12.90836,77.563109,21,Thursday,0,highway,1,1,rain,low,27,high,weather,minor,5,1,0,0.65
Bangalore,Karnataka,13.008178,77.683777,4,Tuesday,0,highway,5,0,rain,low,27,low,overspeeding,major,4,0,0,0.45
Hyderabad,Telangana,17.253718,78.264759,21,Sunday,1,highway,4,0,fog,low,20,high,weather,minor,5,1,0,0.65
Kolkata,West Bengal,22.643283,88.434764,14,Tuesday,0,urban,3,0,fog,low,19,low,poor road,minor,3,1,0,0.45
Chandigarh,Punjab,30.78977,76.791081,4,Monday,0,highway,2,1,clear,high,39,low,distraction,minor,5,0,0,0.1
Bangalore,Karnataka,13.094302,77.576124,1,Sunday,1,rural,1,1,clear,high,32,low,weather,minor,1,0,0,0.1
Kolkata,West Bengal,22.453114,88.383374,21,Monday,0,urban,3,0,clear,high,20,medium,weather,fatal,4,4,0,0.3
Hyderabad,Telangana,17.492197,78.20001,19,Thursday,0,urban,6,0,rain,medium,20,high,poor road,minor,2,0,1,0.6
Chandigarh,Punjab,30.786188,76.807627,22,Tuesday,0,highway,6,1,rain,low,33,low,poor road,minor,5,2,0,0.45
Hyderabad,Telangana,17.563446,78.232019,13,Tuesday,0,urban,5,0,rain,low,39,high,poor road,minor,5,0,0,0.65
Bangalore,Karnataka,12.971567,77.689448,20,Monday,0,urban,1,1,fog,low,21,medium,drunk driving,minor,1,0,0,0.45
Chandigarh,Punjab,30.784319,76.811367,8,Monday,0,highway,2,0,clear,high,23,high,weather,major,5,5,1,0.45
Hyderabad,Telangana,17.262441,78.332996,19,Monday,0,urban,2,1,clear,high,23,low,distraction,major,2,0,1,0.25
Pune,Maharashtra,18.62914,73.851101,10,Wednesday,0,rural,6,0,rain,low,34,high,distraction,minor,1,1,1,0.8
Pune,Maharashtra,18.616196,73.705131,8,Friday,0,urban,1,0,fog,low,31,high,overspeeding,major,3,1,1,0.8
Hyderabad,Telangana,17.432325,78.449923,0,Thursday,0,urban,4,0,clear,high,22,low,overspeeding,major,5,4,0,0.1
Mumbai,Maharashtra,18.849144,72.726339,8,Tuesday,0,highway,6,0,fog,low,27,low,poor road,major,1,0,1,0.6
Kolkata,West Bengal,22.563456,88.315626,19,Wednesday,0,urban,3,1,rain,low,36,high,poor road,fatal,1,1,1,1.0
Pune,Maharashtra,18.441514,73.89283,19,Tuesday,0,urban,4,1,rain,low,16,high,poor road,minor,5,1,1,0.8
Pune,Maharashtra,18.627045,73.919901,15,Tuesday,0,urban,2,1,rain,medium,21,high,weather,major,4,3,0,0.45
Hyderabad,Telangana,17.453887,78.418717,7,Wednesday,0,rural,5,1,clear,high,34,medium,weather,minor,5,3,0,0.1
Hyderabad,Telangana,17.310034,78.367309,18,Saturday,1,urban,4,0,rain,low,16,high,distraction,major,3,2,1,0.8
Bangalore,Karnataka,13.180613,77.573218,2,Tuesday,0,urban,4,0,fog,low,17,low,overspeeding,major,2,1,0,0.45
Kolkata,West Bengal,22.48019,88.366839,16,Friday,0,urban,5,0,rain,low,20,low,weather,minor,5,5,0,0.45
Mumbai,Maharashtra,19.05988,72.748749,2,Friday,0,urban,5,1,clear,high,36,high,weather,major,2,2,0,0.3
Chandigarh,Punjab,30.650517,76.789449,0,Friday,0,urban,2,1,clear,high,36,low,drunk driving,minor,3,2,0,0.1
Mumbai,Maharashtra,19.093036,72.876566,9,Saturday,1,highway,5,1,rain,medium,40,low,drunk driving,fatal,1,1,1,0.6
Delhi,Delhi,28.596361,77.02673,0,Wednesday,0,highway,6,0,fog,low,19,low,weather,minor,4,1,0,0.45
Kolkata,West Bengal,22.648231,88.411475,15,Saturday,1,rural,1,0,rain,low,27,low,drunk driving,minor,5,3,0,0.45
Chennai,Tamil Nadu,12.894547,80.239536,3,Monday,0,highway,6,0,clear,high,22,medium,poor road,minor,2,1,0,0.1
Chandigarh,Punjab,30.706127,76.870146,19,Monday,0,highway,6,0,rain,low,34,high,distraction,major,5,1,1,0.8
Chandigarh,Punjab,30.736284,76.88423,18,Saturday,1,urban,1,0,rain,low,15,high,overspeeding,minor,5,4,1,0.8
Bangalore,Karnataka,12.884671,77.570809,10,Sunday,1,urban,1,1,rain,medium,37,low,weather,minor,3,3,1,0.4
Kolkata,West Bengal,22.641019,88.468147,14,Thursday,0,urban,5,1,clear,high,22,high,poor road,minor,3,0,0,0.3
Delhi,Delhi,28.497753,76.936211,22,Tuesday,0,urban,2,1,fog,low,34,high,overspeeding,minor,4,0,0,0.65
Hyderabad,Telangana,17.22001,78.311087,10,Sunday,1,rural,6,0,fog,low,16,high,weather,minor,4,2,1,0.8
Pune,Maharashtra,18.533492,73.818053,23,Sunday,1,highway,4,0,rain,low,19,high,weather,major,2,0,0,0.65
Bangalore,Karnataka,12.898651,77.518953,18,Thursday,0,urban,2,0,clear,high,22,high,distraction,minor,3,0,1,0.45
Chennai,Tamil Nadu,12.942775,80.266239,0,Monday,0,highway,3,0,fog,low,24,low,distraction,minor,3,2,0,0.45
Mumbai,Maharashtra,18.845526,72.792846,15,Monday,0,urban,5,1,fog,low,31,low,distraction,major,2,0,0,0.45
